"Classe","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Favela","1865.7733537292706","1903.810074749785","1924.9227959961245","1950.923078594984","1989.4467202942035","2010.878136779799","2022.7554519592434","2028.7323807983548","2039.598700701918","2046.8940351623685","2051.16272015993","2055.664901354995","2065.9115103759887","2077.5573423828273","2085.086774511734","2090.6768259582664","2096.1812226013362","2100.215723034682","2102.2331143493784","2106.193872595226","2108.5234686706663","2114.4246648864837","2119.474140112314","2133.371087872326"
"2. Fora de Favela","14831.872328521787","14972.162742345901","15107.855410266355","15272.752608874343","15457.576813201844","15542.377585100887","15608.411708685295","15721.444812091022","15895.963155138812","15999.30853001078","16112.977127715925","16271.869040630341","16380.177341277666","16442.96107184402","16501.31113077974","16540.959790270503","16596.89027326631","16655.32351044904","16694.96820833703","16730.279450091093","16770.181240624384","16800.676270519696","16809.533536413088","16874.949656750174"
