"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Favela","1284.5805037231423","1345.0284760253862","1351.706450512691","1368.5557393798754","1392.544886242677","1443.2356940002487","1500.366114227308","1621.2759087158313","1639.5241305847262","1643.6394638427844","1666.0713352295006","1675.6963973816062","1747.261032824709","1772.5608746399066","1850.7976766296636","1865.7733537292706","1903.810074749785","1924.9227959961245","1950.923078594984","1989.4467202942035","2010.878136779799","2022.7554519592434","2028.7323807983548","2039.598700701918","2046.8940351623685","2051.16272015993","2055.664901354995","2065.9115103759887","2077.5573423828273","2085.086774511734","2090.6768259582664","2096.1812226013362","2100.215723034682","2102.2331143493784","2106.193872595226","2108.5234686706663","2114.4246648864837","2119.474140112314","2133.371087872326"
"1.1. Área urbanizada não vegetada","1072.4845181579565","1132.0837546813918","1141.1696387939407","1165.3161099426195","1186.4295159118662","1234.3281883056686","1287.1136155761849","1291.9994527649035","1309.5520326171973","1228.4989268676868","1258.8579337280357","1277.6457050964493","1390.1265781494153","1436.1630084167614","1546.6270337219478","1552.7592369751194","1558.8843261108675","1578.6791858887013","1627.429566271985","1672.4646603515757","1695.6803250427374","1682.1753097046035","1669.4405711853171","1695.1319673828255","1711.6645202758932","1703.3542251281904","1705.6065614685192","1724.0856230163686","1691.9443966797019","1661.2005848632957","1661.3518681701798","1683.6251919311692","1688.5831548523086","1681.5149833374144","1681.5166772644147","1693.8619485534782","1681.3617389709557","1690.7551529724205","1706.3637163513292"
"1.2. Área vegetada intraurbana","45.34239805297854","56.36792942504882","58.542475500488266","56.75957052001953","64.75861401977537","72.52056276245112","78.57301718139647","89.60265642700192","97.44293062744146","183.5435244934083","191.38314676513653","189.83068570556634","158.5459097778319","141.46658594970697","132.61191652221686","143.78490798950213","172.12446633911188","178.25586683349647","159.46778135986347","140.91129655761696","142.15612890624996","170.8806472595219","190.36859230346676","176.6311693237305","169.2571491821289","189.91102962646488","193.015107623291","187.1124340087892","230.51391000366195","272.20500338745114","275.7028106323242","266.38753088378945","265.61945318603506","275.015467315674","278.58589283447265","269.11392954101547","287.2825245300294","283.1718804931643","282.0839722290041"
"1.3. Fragmentos de vegetação urbana","166.7535875122074","156.5767919189456","151.9943362182619","146.48005891723636","141.35675631103516","136.38694293212885","134.67948146972654","239.67379952392588","232.52916734008755","231.5970124816892","215.83025473632844","208.22000657959055","198.58854489746173","194.93128027343815","171.55872638549886","169.22920876464926","172.80128229980548","167.98774327392658","164.0257309631355","176.07076338501085","173.04168283081162","169.69949499511787","168.92321730957107","167.83556399536215","165.97236570434632","157.89746540527457","157.04323226318468","154.71345335083106","155.09903569946363","151.6811862609869","153.6221471557624","146.16849978637768","146.01311499633866","145.70266369628982","146.0913024963386","145.54759057617264","145.7804013854988","145.54710664672928","144.9233992919928"
"2. Fora de Favela","12776.75238455141","13092.002937103056","13162.032729553026","13241.510481322852","13326.336357763452","13468.429520397722","13665.03475540721","13823.100656823271","13893.188431841556","13934.102795477042","14000.309539483389","14026.388915826155","14263.828266912658","14435.348338122294","14718.011122985425","14831.872328521787","14972.162742345901","15107.855410266355","15272.752608874343","15457.576813201844","15542.377585100887","15608.411708685295","15721.444812091022","15895.963155138812","15999.30853001078","16112.977127715925","16271.869040630341","16380.177341277666","16442.96107184402","16501.31113077974","16540.959790270503","16596.89027326631","16655.32351044904","16694.96820833703","16730.279450091093","16770.181240624384","16800.676270519696","16809.533536413088","16874.949656750174"
"2.1. Área urbanizada não vegetada","11281.076054442761","11521.780841338887","11578.146574957083","11716.31122498741","11775.130217358183","11903.338908587446","12071.189862011242","12013.28603691972","12016.294325902842","11312.953050341537","11298.045536767318","11278.937738287075","11663.087701403618","11883.946935302469","12369.965384740797","12449.837906488097","12381.307306719695","12534.793718359633","12805.717590753016","13064.529109039258","13174.966955688049","12971.582494976801","12893.905617694058","13082.275534997229","13230.25087945538","13210.636961096074","13345.748125286138","13588.219876330164","13360.690833751996","13004.85764332862","12965.421389391626","13088.428579461415","13172.317961236411","13181.305660363423","13261.926849926325","13338.43168309268","13258.36426668674","13341.574970818656","13431.06002174045"
"2.2. Área vegetada intraurbana","460.55007624511626","543.5849362365715","569.6715066833469","544.6115994384761","596.866014807126","652.215305511467","682.5579819824147","799.9050971374379","873.8885350219572","1617.6763339599668","1724.2585841552877","1777.4447907409844","1594.4091951049857","1525.5618413391182","1401.8079077819914","1463.4597441955639","1704.3549677917485","1715.4586848754875","1628.1770654541085","1502.303772210695","1487.861042346193","1771.8853696777483","1966.4239659790112","1909.9742558593682","1903.6837683105446","2045.7454664978002","2069.4670663329935","1964.0369718383895","2259.170021606448","2661.179446502654","2752.139639099108","2696.6327337707307","2659.628030010985","2693.4692731750374","2686.0607869689825","2649.624253478983","2775.483164465294","2701.285036938441","2710.065111773652"
"2.3. Fragmentos de vegetação urbana","1035.1262538635324","1026.6371595275969","1014.2146479125948","980.5876568969646","954.3401255981431","912.8753062988093","911.2869114135545","1009.909522766112","1003.005570916757","1003.4734111755363","978.0054185607815","970.0063867980946","1006.3313704040553","1025.839561480707","946.2378304626365","918.5746778381274","886.5004678344576","857.6030070312335","838.8579526672193","890.7439319518904","879.5495870666448","864.9438440307463","861.1152284179531","903.713364282215","865.3738822448566","856.5947001220526","856.6538490112097","827.9204931091119","823.100216485577","835.2740409484679","823.3987617797678","811.8289600341644","823.3775192016459","820.1932747985696","782.2918131957861","782.1253040527228","766.8288393676634","766.673528655993","733.8245232360714"
